"IDCNTRY","Var","Min","FirstQ","Median","Mean","ThirdQ","Max","NACount","n"
"Abu Dhabi, UAE","en11madz","0","0",0,1.3718689788054,0,299,2423,3980
"Abu Dhabi, UAE","en11radz","0","0",0,0.491273432449903,0,34,2433,3980
"Abu Dhabi, UAE","en11badz","0","0",0,0.967005076142132,0,70,2404,3980
"Abu Dhabi, UAE","en11zadz","0","0",0,1.46934865900383,0,74,2414,3980
"Abu Dhabi, UAE","en11tadz","0","0",0,0.678095238095238,0,41,2405,3980
"Dubai, UAE","en11madz","0","0",0,0.559379217273954,0,74,4507,7471
"Dubai, UAE","en11radz","0","0",0,0.59072715143429,0,261,4473,7471
"Dubai, UAE","en11badz","0","0",0,0.405067567567568,0,63,4511,7471
"Dubai, UAE","en11zadz","0","0",0,0.651866801210898,0,65,4498,7471
"Dubai, UAE","en11tadz","0","0",0,0.340825226434083,0,60,4490,7471
"United Arab Emirates","en11madz","0","0",0,0.821980165826695,0,299,9415,15566
"United Arab Emirates","en11radz","0","0",0,0.511673151750973,0,261,9398,15566
"United Arab Emirates","en11badz","0","0",0,0.622812702527544,0,162,9394,15566
"United Arab Emirates","en11zadz","0","0",0,1.01643612693247,0,74,9421,15566
"United Arab Emirates","en11tadz","0","0",0,0.499838969404187,0,66,9356,15566
"Canada","en11madz","0","0",0,0.33908371040724,0,67,5335,8871
"Canada","en11radz","0","0",0,0.262026032823995,0,146,5337,8871
"Canada","en11badz","0","0",0,0.193382772390188,0,32,5365,8871
"Canada","en11zadz","0","0",0,0.303478260869565,0,82,5421,8871
"Canada","en11tadz","0","0",0,0.226064589882824,0,167,5372,8871
"Denmark","en11madz","0","0",0,0.391217564870259,0,34,1504,2506
"Denmark","en11radz","0","0",0,0.269424823410696,0,43,1515,2506
"Denmark","en11badz","0","0",0,0.290744466800805,0,60,1512,2506
"Denmark","en11zadz","0","0",0,0.161838161838162,0,21,1505,2506
"Denmark","en11tadz","0","0",0,0.166502463054187,0,15,1491,2506
"Georgia","en11madz","0","0",0,0.33803457688808,0,43,3359,5557
"Georgia","en11radz","0","0",0,0.205547976352888,0,32,3358,5557
"Georgia","en11badz","0","0",0,0.428766499772417,0,56,3360,5557
"Georgia","en11zadz","0","0",0,0.492831541218638,0,53,3325,5557
"Georgia","en11tadz","0","0",0,0.264918625678119,0,21,3345,5557
"Ireland","en11madz","0","0",0,0.573469387755102,0,231,1493,2473
"Ireland","en11radz","0","0",0,0.268582755203171,0,92,1464,2473
"Ireland","en11badz","0","0",0,0.271629778672032,0,58,1479,2473
"Ireland","en11zadz","0","0",0,0.203458799593082,0,16,1490,2473
"Ireland","en11tadz","0","0",0,0.335384615384615,0,114,1498,2473
"Israel","en11madz","0","0",0,0.386499007279947,0,46,2287,3798
"Israel","en11radz","0","0",0,0.616042077580539,0,342,2277,3798
"Israel","en11badz","0","0",0,0.620598006644518,0,54,2293,3798
"Israel","en11zadz","0","0",0,0.433852140077821,0,25,2256,3798
"Israel","en11tadz","0","0",0,0.497025776602776,0,45,2285,3798
"Italy","en11madz","0","0",0,0.444002650762094,0,90,2258,3767
"Italy","en11radz","0","0",0,0.267869071476286,0,31,2270,3767
"Italy","en11badz","0","0",0,0.143237841439041,0,16,2266,3767
"Italy","en11zadz","0","0",0,0.193741677762983,0,29,2265,3767
"Italy","en11tadz","0","0",0,0.222520107238606,0,56,2275,3767
"Norway (5th Grade)","en11madz","0","0",0,0.492997198879552,0,86,2182,3610
"Norway (5th Grade)","en11radz","0","0",0,0.804654442877292,0,268,2192,3610
"Norway (5th Grade)","en11badz","0","0",0,0.391154111955771,0,70,2163,3610
"Norway (5th Grade)","en11zadz","0","0",0,0.361033519553073,0,57,2178,3610
"Norway (5th Grade)","en11tadz","0","0",0,0.358831710709319,0,32,2172,3610
"Portugal","en11madz","0","0",0,0.217415115005476,0,27,2732,4558
"Portugal","en11radz","0","0",0,0.236972024136039,0,29,2735,4558
"Portugal","en11badz","0","0",0,0.227827050997783,0,39,2754,4558
"Portugal","en11zadz","0","0",0,0.25,0,38,2714,4558
"Portugal","en11tadz","0","0",0,0.279095421952565,0,64,2745,4558
"Singapore","en11madz","0","0",0,0.817391304347826,0,147,3790,6320
"Singapore","en11radz","0","0",0,0.844382691544264,0,157,3801,6320
"Singapore","en11badz","0","0",0,0.484728282427608,0,70,3799,6320
"Singapore","en11zadz","0","0",0,0.61508093170154,0,74,3787,6320
"Singapore","en11tadz","0","0",0,0.500396825396825,0,49,3800,6320
"Slovenia","en11madz","0","0",0,0.155555555555556,0,39,2593,4303
"Slovenia","en11radz","0","0",0,0.245161290322581,0,136,2598,4303
"Slovenia","en11badz","0","0",0,0.186558516801854,0,27,2577,4303
"Slovenia","en11zadz","0","0",0,0.335842501447597,0,44,2576,4303
"Slovenia","en11tadz","0","0",0,0.139225880993645,0,20,2572,4303
"Sweden","en11madz","0","0",0,0.258609486679662,0,106,2340,3879
"Sweden","en11radz","0","0",0,0.246744791666667,0,73,2343,3879
"Sweden","en11badz","0","0",0,0.407697325505545,0,268,2346,3879
"Sweden","en11zadz","0","0",0,0.217277486910995,0,55,2351,3879
"Sweden","en11tadz","0","0",0,0.103313840155945,0,33,2340,3879
"Chinese Taipei","en11madz","0","0",0,1.39732402559628,0,221,2580,4299
"Chinese Taipei","en11radz","0","0",0,2.43097447795824,0,604,2575,4299
"Chinese Taipei","en11badz","0","0",0,0.724840023269343,0,97,2580,4299
"Chinese Taipei","en11zadz","0","0",0,1.48981966259453,0,187,2580,4299
"Chinese Taipei","en11tadz","0","0",0,1.57467911318553,0,84,2585,4299
"United States","en11madz","0","0",0,0.834856794637416,0,204,2449,4090
"United States","en11radz","0","0",0,0.300370828182942,0,100,2472,4090
"United States","en11badz","0","0",0,0.539828431372549,0,91,2458,4090
"United States","en11zadz","0","0",0,0.396913580246914,0,88,2470,4090
"United States","en11tadz","0","0",0,0.332504661280298,0,41,2481,4090
